Crop,State,Season,Soil_Type,Weather_Condition,Area,Rainfall,Temperature,Humidity,Fertilizer_Usage,Pesticide_Usage,Yield_Per_Hectare,Total_Yield
Sugarcane,Maharashtra,Zaid,Silty,Cloudy,2.89,1028.1,43.7,57.5,244.7,2.34,81685.01,235678.2
Wheat,Rajasthan,Zaid,Peaty,Humid,3.09,1965.4,27.5,81.7,432.7,1.14,5340.66,16511.03
Barley,AP,Kharif,Peaty,Humid,30.58,879.2,19.1,68.9,382.4,1.65,4163.82,127345.02
Sugarcane,Maharashtra,Kharif,Silty,Humid,14.73,1045.9,16.7,28.4,282.1,1.41,66212.84,975101.56
Soybean,UP,Summer,Clay,Rainy,24.9,1129.9,30.9,64.6,54.5,2.37,1666.68,41494.93
Cotton,Karnataka,Summer,Sandy,Rainy,38.23,1246.3,23.0,36.5,109.2,4.3,1677.37,64132.98
Jowar,Rajasthan,Winter,Sandy,Dry,38.77,1391.3,25.4,47.9,50.6,1.57,1527.89,59237.06
Cotton,Rajasthan,Summer,Chalky,Cloudy,27.57,2108.5,33.2,41.8,143.2,0.85,1822.19,50246.36
Wheat,AP,Summer,Sandy,Dry,33.75,1539.1,44.7,37.9,288.8,3.29,4032.86,136094.05
Soybean,Bihar,Kharif,Clay,Cloudy,10.19,523.8,33.7,78.6,310.2,0.82,2081.96,21222.9
Rice,Rajasthan,Summer,Clay,Humid,44.56,1827.8,16.9,31.0,53.5,3.19,4352.71,193965.29
Barley,Karnataka,Kharif,Peaty,Rainy,26.72,756.4,30.0,71.0,84.3,1.45,2509.3,67043.76
Bajra,Karnataka,Winter,Peaty,Cloudy,22.55,681.1,16.5,83.3,491.5,3.99,2789.17,62907.84
Soybean,Gujarat,Summer,Clay,Cloudy,35.73,2456.6,32.1,39.5,246.6,3.01,2802.05,100117.99
Bajra,UP,Summer,Peaty,Humid,36.74,1016.6,35.9,49.6,478.8,4.84,2289.15,84103.42
Barley,Punjab,Rabi,Chalky,Humid,23.18,1997.1,43.8,77.3,434.8,3.06,4276.05,99130.08
Bajra,Gujarat,Winter,Loamy,Rainy,42.48,1876.4,17.9,52.2,63.1,2.46,1960.87,83293.9
Bajra,Haryana,Kharif,Silty,Cloudy,49.67,303.3,37.8,47.9,226.6,3.8,1303.18,64723.95
Wheat,MP,Summer,Chalky,Dry,28.91,1155.9,40.4,87.7,444.8,4.87,5526.51,159744.58
Groundnut,Rajasthan,Zaid,Sandy,Cloudy,2.43,282.8,20.3,85.0,177.1,4.76,2162.42,5248.28
Maize,Bihar,Zaid,Chalky,Humid,42.06,530.8,27.9,87.8,430.6,2.06,4684.16,197030.68
Cotton,MP,Summer,Sandy,Rainy,10.62,787.2,23.9,64.5,64.8,3.22,1389.24,14754.88
Maize,Gujarat,Kharif,Chalky,Cloudy,41.42,309.6,36.8,78.0,208.7,4.14,2725.97,112920.34
Wheat,Gujarat,Kharif,Clay,Dry,14.86,2341.3,26.8,61.0,289.4,2.99,5410.73,80384.14
Jowar,MP,Winter,Sandy,Dry,11.91,203.4,36.9,92.5,150.9,3.35,1301.44,15494.49
Jowar,Haryana,Winter,Chalky,Rainy,44.85,2081.5,22.6,40.4,106.4,1.75,1874.3,84070.04
Soybean,AP,Kharif,Chalky,Cloudy,27.45,1831.4,20.0,78.5,312.7,4.77,2904.22,79728.52
Bajra,MP,Kharif,Peaty,Sunny,47.49,1654.0,18.9,62.0,401.3,3.57,2336.11,110931.88
Groundnut,AP,Kharif,Loamy,Rainy,42.6,992.6,15.9,23.9,114.0,1.15,1970.41,83936.3
Cotton,Punjab,Winter,Silty,Cloudy,35.21,1872.2,31.9,91.0,273.3,1.96,2367.73,83362.91
Cotton,MP,Kharif,Sandy,Cloudy,6.66,2034.4,33.5,83.2,93.9,2.84,1862.5,12398.58
Maize,Punjab,Kharif,Peaty,Sunny,27.27,1188.1,24.3,56.2,103.3,4.81,3736.76,101887.86
Jowar,AP,Summer,Silty,Humid,16.17,2077.7,30.0,25.3,190.8,4.68,1976.33,31955.7
Wheat,MP,Zaid,Loamy,Rainy,33.86,319.2,31.5,41.6,188.0,1.83,2554.69,86512.07
Jowar,Punjab,Winter,Silty,Cloudy,14.65,1195.4,35.6,44.9,75.5,1.93,1508.35,22089.88
Cotton,Karnataka,Winter,Clay,Humid,36.81,467.2,38.4,78.9,320.5,4.95,1951.92,71845.46
Jowar,Bihar,Rabi,Clay,Dry,9.38,2432.6,18.4,50.3,382.0,3.55,2475.63,23217.8
Jowar,AP,Zaid,Clay,Sunny,13.58,672.3,29.5,40.1,179.4,3.32,1546.32,21001.6
Groundnut,Rajasthan,Winter,Loamy,Humid,5.06,1577.8,33.7,68.6,170.3,0.17,2575.75,13026.36
Maize,Rajasthan,Zaid,Peaty,Rainy,35.48,1603.0,24.4,40.3,319.0,4.34,4755.12,168703.15
Barley,Rajasthan,Summer,Peaty,Rainy,3.0,1643.2,26.6,90.2,293.9,4.7,4721.33,14160.24
Bajra,Bihar,Kharif,Silty,Dry,37.1,693.7,34.9,57.4,384.3,1.7,1983.63,73594.09
Cotton,Bihar,Zaid,Chalky,Sunny,49.81,727.1,31.4,70.3,365.4,1.1,1900.87,94691.86
Groundnut,Punjab,Winter,Clay,Humid,11.11,822.9,22.4,24.7,256.5,3.69,3112.02,34584.26
Wheat,Karnataka,Rabi,Peaty,Rainy,19.47,1335.1,23.5,79.0,228.9,2.62,4952.96,96446.89
Groundnut,Punjab,Zaid,Loamy,Rainy,46.08,1544.2,31.1,40.2,215.8,4.49,3370.32,155297.58
Sugarcane,Karnataka,Winter,Sandy,Rainy,21.67,1217.9,34.5,90.2,78.8,4.14,88500.6,1917477.6
Soybean,MP,Rabi,Loamy,Sunny,29.72,1137.6,29.1,22.1,144.5,1.48,1995.56,59301.0
Sugarcane,Bihar,Winter,Chalky,Sunny,47.16,1917.6,36.6,82.0,250.8,4.05,104912.94,4947201.27
Rice,Gujarat,Summer,Silty,Humid,27.89,786.2,37.3,25.7,442.7,4.16,4829.08,134694.24
Sugarcane,Bihar,Rabi,Silty,Sunny,13.94,733.1,24.6,87.8,84.9,4.16,78806.09,1098492.91
Groundnut,Bihar,Kharif,Peaty,Dry,44.28,993.0,28.9,51.1,56.0,1.55,1650.21,73065.86
Cotton,Haryana,Kharif,Chalky,Dry,26.83,2015.7,23.9,60.6,205.4,2.13,1964.89,52715.02
Bajra,UP,Rabi,Loamy,Rainy,11.51,1394.2,33.2,38.4,76.0,2.02,1515.12,17434.35
Barley,Punjab,Winter,Loamy,Sunny,21.73,1444.1,35.9,72.7,127.3,2.55,2801.89,60892.73
Maize,Punjab,Kharif,Chalky,Rainy,25.04,2346.2,28.2,93.5,280.5,0.66,4843.76,121274.93
Bajra,Punjab,Winter,Clay,Sunny,30.76,2171.8,35.2,50.6,448.5,1.19,2801.53,86178.17
Bajra,Rajasthan,Kharif,Silty,Humid,27.02,2123.1,39.6,83.2,268.3,1.73,2185.06,59029.39
Maize,UP,Rabi,Loamy,Sunny,1.16,1142.4,34.4,21.2,176.4,1.12,3163.04,3674.51
Barley,Gujarat,Summer,Peaty,Sunny,48.42,353.1,34.4,25.6,219.0,4.04,2128.23,103047.08
Maize,MP,Zaid,Loamy,Humid,2.74,1004.9,42.9,48.4,424.1,4.23,3911.08,10729.29
Jowar,Gujarat,Summer,Silty,Rainy,27.65,352.9,38.0,63.8,401.9,3.78,1710.91,47301.01
Rice,AP,Winter,Loamy,Cloudy,33.29,998.0,26.7,31.9,166.2,3.07,4609.06,153449.35
Sugarcane,Maharashtra,Summer,Sandy,Rainy,27.31,1944.0,24.2,51.1,370.7,1.99,100394.66,2741928.59
Wheat,Punjab,Summer,Peaty,Rainy,29.44,507.4,28.3,53.8,481.3,2.21,4492.94,132277.07
Soybean,Punjab,Zaid,Clay,Cloudy,26.67,2099.6,28.9,40.9,344.6,4.14,3036.69,80994.2
Groundnut,Maharashtra,Summer,Peaty,Rainy,37.52,546.4,21.5,54.8,168.8,2.13,2594.78,97350.87
Maize,Karnataka,Summer,Chalky,Rainy,21.73,662.4,30.4,75.2,246.4,3.37,3546.24,77076.6
Rice,MP,Winter,Peaty,Cloudy,45.2,2347.2,39.0,70.6,52.6,2.38,3984.5,180111.78
Rice,Maharashtra,Summer,Loamy,Cloudy,39.3,1502.2,24.4,69.1,154.4,0.17,4431.2,174124.18
Cotton,UP,Rabi,Loamy,Cloudy,31.42,2188.2,32.6,63.6,495.8,3.81,3300.87,103707.95
Wheat,Rajasthan,Winter,Sandy,Cloudy,11.83,1572.8,42.8,89.7,203.9,2.69,4161.19,49224.15
Jowar,Haryana,Zaid,Peaty,Cloudy,18.44,2186.4,18.3,89.4,334.2,0.37,2362.6,43567.21
Jowar,Punjab,Rabi,Clay,Cloudy,31.98,1578.4,20.4,72.9,254.8,3.37,2013.81,64399.75
Cotton,Gujarat,Kharif,Sandy,Cloudy,40.24,2410.1,31.1,56.6,230.8,0.85,2199.63,88511.03
Sugarcane,Karnataka,Rabi,Clay,Humid,29.37,1563.5,25.6,23.9,64.3,2.17,78523.74,2306080.95
Cotton,Gujarat,Zaid,Peaty,Dry,10.23,1896.1,23.6,80.2,498.8,0.25,2412.78,24693.22
Bajra,MP,Kharif,Clay,Dry,17.7,1201.4,26.9,70.2,451.4,1.6,2835.6,50194.73
Groundnut,MP,Rabi,Silty,Rainy,3.23,2367.5,17.2,52.9,288.4,4.93,3901.99,12617.15
Jowar,Gujarat,Zaid,Silty,Dry,6.92,789.9,25.7,70.5,78.2,1.13,1363.29,9432.72
Soybean,Maharashtra,Rabi,Peaty,Cloudy,24.19,1995.3,24.1,43.4,51.4,0.95,2128.27,51473.51
Groundnut,Rajasthan,Kharif,Clay,Rainy,35.9,848.4,25.9,34.3,206.2,2.78,2609.43,93683.12
Jowar,Maharashtra,Rabi,Silty,Cloudy,24.72,1905.8,29.8,56.2,427.2,1.87,2062.88,51004.68
Maize,Rajasthan,Summer,Sandy,Cloudy,25.94,2277.6,41.7,81.3,279.6,3.71,4771.61,123754.73
Soybean,Karnataka,Summer,Silty,Sunny,7.02,2165.8,20.0,84.1,270.8,2.09,2888.91,20271.06
Soybean,Bihar,Kharif,Chalky,Cloudy,18.69,400.1,31.7,83.4,408.2,0.96,1933.51,36129.31
Sugarcane,Bihar,Summer,Sandy,Humid,39.73,1642.9,37.5,31.4,256.2,1.82,88834.85,3529714.35
Rice,AP,Rabi,Sandy,Cloudy,14.93,677.3,22.1,88.1,260.6,2.38,4167.96,62216.43
Wheat,AP,Rabi,Peaty,Sunny,46.79,1064.4,36.2,55.7,353.5,3.84,4536.75,212279.03
Groundnut,Rajasthan,Zaid,Clay,Humid,23.68,1979.2,18.7,67.0,175.3,4.28,3491.54,82687.77
Jowar,Rajasthan,Kharif,Silty,Dry,30.61,846.4,20.2,48.5,410.7,2.02,2002.59,61303.05
Groundnut,Bihar,Kharif,Loamy,Sunny,34.03,1501.3,42.9,49.0,79.8,0.19,1949.32,66337.33
Jowar,Gujarat,Zaid,Clay,Cloudy,1.99,2411.4,35.0,90.0,169.5,3.1,2391.9,4760.23
Maize,Karnataka,Summer,Peaty,Rainy,47.38,2235.2,37.2,40.8,176.7,4.82,4305.56,204017.0
Maize,Gujarat,Summer,Sandy,Cloudy,16.0,2153.9,17.7,94.4,293.5,4.93,5869.46,93920.67
Barley,Rajasthan,Summer,Sandy,Humid,12.38,1833.3,23.2,45.6,252.0,4.57,3591.27,44458.07
Maize,Bihar,Winter,Loamy,Cloudy,47.11,2003.7,28.9,84.9,162.3,3.61,4634.24,218299.83
Groundnut,AP,Summer,Sandy,Humid,15.11,887.4,18.2,53.0,378.4,4.71,3509.66,53017.14
Cotton,Punjab,Winter,Peaty,Dry,6.29,1769.0,43.5,30.3,380.2,3.2,2058.71,12944.58
Barley,Karnataka,Rabi,Clay,Dry,45.17,991.1,37.0,69.4,469.2,4.12,4676.55,211237.14
Maize,MP,Rabi,Sandy,Sunny,1.04,2101.1,39.0,27.8,309.6,2.37,4065.25,4208.14
Barley,Maharashtra,Winter,Loamy,Dry,3.83,1568.1,37.2,22.4,346.4,2.71,2791.66,10686.75
Soybean,AP,Rabi,Silty,Sunny,48.5,1191.8,25.4,23.8,73.7,3.49,2102.76,101986.44
Groundnut,Punjab,Winter,Peaty,Sunny,7.33,1784.2,41.9,75.9,84.4,4.49,2503.53,18339.16
Rice,Punjab,Rabi,Clay,Dry,41.81,1024.2,42.4,62.4,132.2,0.78,3293.06,137690.41
Soybean,Punjab,Zaid,Chalky,Dry,14.15,669.8,15.5,70.9,84.5,2.16,1821.29,25771.3
Bajra,Haryana,Zaid,Silty,Rainy,16.94,2334.6,40.3,36.8,157.6,2.61,1992.47,33751.25
Maize,MP,Zaid,Clay,Cloudy,27.76,1127.4,40.0,81.1,325.3,1.93,3309.45,91863.07
Cotton,MP,Rabi,Chalky,Dry,28.04,267.1,42.2,31.7,149.0,2.64,1173.82,32911.81
Wheat,AP,Zaid,Loamy,Sunny,11.41,2238.2,43.0,88.7,335.9,3.19,5736.15,65461.39
Wheat,AP,Winter,Sandy,Dry,36.71,2096.3,19.4,82.5,293.1,4.24,5296.73,194437.93
Cotton,Gujarat,Rabi,Chalky,Rainy,27.6,831.1,42.0,36.1,448.0,2.84,1901.59,52483.44
Cotton,UP,Kharif,Silty,Sunny,17.62,1743.5,39.2,91.0,230.1,3.94,2318.7,40849.42
Bajra,AP,Kharif,Loamy,Humid,23.25,1191.3,24.1,34.9,79.6,4.45,1864.71,43359.48
Groundnut,Haryana,Kharif,Peaty,Humid,8.96,1161.7,37.7,87.3,87.9,2.03,1667.74,14945.18
Groundnut,MP,Kharif,Clay,Cloudy,17.11,376.7,22.0,82.3,476.7,1.59,2710.25,46381.49
Wheat,Haryana,Kharif,Silty,Rainy,3.01,290.6,32.2,49.5,62.9,2.96,2521.07,7577.86
Soybean,Bihar,Summer,Clay,Cloudy,29.62,1114.7,44.2,60.8,173.9,3.58,1996.11,59131.53
Groundnut,Punjab,Summer,Peaty,Humid,11.48,930.4,22.8,26.6,90.5,1.05,2026.44,23259.88
Soybean,AP,Summer,Chalky,Dry,10.95,1930.7,16.5,56.9,248.9,1.74,2611.4,28596.71
Maize,Maharashtra,Rabi,Chalky,Dry,38.13,554.0,19.5,40.1,212.5,2.1,2208.62,84210.36
Wheat,UP,Summer,Chalky,Dry,35.01,644.9,34.2,39.5,448.7,4.49,3941.87,138003.31
Maize,MP,Summer,Peaty,Sunny,33.82,2096.0,26.9,31.7,382.1,1.87,4150.67,140367.66
Bajra,Haryana,Winter,Silty,Humid,1.99,1222.4,30.1,28.8,126.1,1.82,1686.11,3348.7
Maize,MP,Rabi,Chalky,Cloudy,22.6,1623.2,35.0,57.6,340.2,0.22,4162.22,94061.5
Barley,MP,Zaid,Clay,Dry,30.36,1404.3,22.6,55.3,271.5,1.06,3793.8,115172.35
Groundnut,UP,Rabi,Sandy,Humid,6.73,2452.0,35.2,83.5,195.9,3.41,3652.52,24598.93
Rice,Haryana,Rabi,Peaty,Sunny,28.98,1186.8,23.3,77.6,151.8,3.49,4886.72,141618.42
Jowar,Karnataka,Rabi,Peaty,Dry,6.98,1593.8,40.5,23.4,380.4,1.77,1509.79,10543.18
Bajra,Gujarat,Rabi,Clay,Humid,6.76,264.0,33.7,80.5,428.9,2.47,2125.35,14359.13
Cotton,Rajasthan,Zaid,Peaty,Rainy,48.28,316.0,41.7,63.3,303.8,2.55,1673.67,80809.17
Bajra,Gujarat,Winter,Peaty,Rainy,17.38,2309.7,27.2,30.7,371.6,1.54,3066.99,53296.42
Cotton,MP,Kharif,Clay,Dry,30.92,1536.7,22.6,76.7,86.8,4.63,2091.4,64659.79
Sugarcane,AP,Summer,Loamy,Sunny,28.05,988.3,19.0,27.1,424.2,4.6,94379.31,2647399.39
Cotton,Maharashtra,Zaid,Loamy,Sunny,35.75,1020.2,22.6,21.0,293.1,4.27,2055.29,73478.18
Cotton,Karnataka,Winter,Loamy,Sunny,40.71,1083.3,35.0,94.2,151.6,2.01,1517.69,61780.09
Groundnut,Karnataka,Zaid,Peaty,Dry,43.74,2489.8,32.5,80.9,197.1,1.6,3249.62,142151.7
Rice,Karnataka,Winter,Sandy,Humid,29.82,1797.7,25.9,75.4,350.0,0.69,4568.13,136216.6
Groundnut,Karnataka,Zaid,Silty,Cloudy,5.08,1994.8,35.2,77.6,188.4,2.51,3160.29,16050.38
Soybean,Gujarat,Zaid,Loamy,Humid,48.19,448.5,29.4,63.9,293.6,0.52,2158.36,104016.42
Bajra,Karnataka,Zaid,Sandy,Cloudy,26.4,825.1,27.0,64.9,343.8,0.85,2481.01,65496.17
Maize,AP,Summer,Loamy,Cloudy,23.58,636.9,36.1,61.7,211.4,4.57,2884.68,68009.09
Soybean,AP,Zaid,Silty,Sunny,22.98,1148.2,43.0,38.8,104.2,2.96,1898.12,43622.72
Jowar,UP,Kharif,Sandy,Dry,4.3,581.9,16.8,57.4,97.9,0.66,1259.46,5412.89
Soybean,Karnataka,Zaid,Sandy,Dry,32.59,341.3,39.4,90.5,341.9,4.78,2226.97,72571.67
Jowar,AP,Rabi,Sandy,Sunny,26.5,455.8,41.0,42.3,123.1,3.41,1240.81,32881.71
Soybean,AP,Summer,Sandy,Sunny,29.96,2205.4,32.3,45.9,411.4,2.75,2914.2,87320.86
Jowar,UP,Summer,Sandy,Humid,8.0,1195.4,32.9,26.0,472.8,3.8,2336.78,18686.19
Soybean,MP,Rabi,Loamy,Humid,39.28,837.3,43.2,29.3,443.8,4.86,2358.47,92644.8
Soybean,Maharashtra,Summer,Peaty,Cloudy,21.42,2490.0,15.3,87.1,117.1,3.95,2287.81,49008.31
Soybean,Punjab,Summer,Chalky,Dry,28.56,1008.5,33.3,21.8,102.4,0.72,1785.5,50996.04
Groundnut,Karnataka,Rabi,Loamy,Humid,11.21,1217.9,16.5,81.5,421.9,2.98,3773.63,42296.6
Soybean,Rajasthan,Summer,Sandy,Rainy,22.55,233.5,22.4,85.0,124.1,2.13,1693.16,38175.1
Maize,Karnataka,Kharif,Clay,Rainy,3.45,1590.0,37.9,59.3,152.0,3.37,3329.43,11485.09
Maize,UP,Rabi,Loamy,Humid,3.03,1114.9,30.4,56.2,222.3,4.21,3404.4,10321.92
Cotton,UP,Zaid,Silty,Dry,4.02,1519.9,32.0,85.9,301.0,4.8,2955.57,11887.9
Rice,Rajasthan,Zaid,Sandy,Sunny,46.88,2463.3,38.9,76.8,356.3,0.91,5655.29,265108.22
Groundnut,Rajasthan,Winter,Loamy,Cloudy,7.56,1078.9,31.6,25.8,51.9,3.39,1933.55,14610.95
Jowar,MP,Summer,Silty,Sunny,9.27,426.4,43.7,65.0,377.9,1.65,1696.5,15719.08
Sugarcane,Haryana,Summer,Clay,Rainy,34.04,1457.9,29.3,89.2,82.7,1.47,91580.61,3117268.1
Maize,Gujarat,Rabi,Chalky,Dry,20.27,1142.2,44.3,33.6,409.6,1.74,2994.37,60686.81
Groundnut,Punjab,Summer,Silty,Humid,41.71,2049.6,41.0,24.5,361.4,0.79,3113.05,129858.76
Groundnut,Gujarat,Summer,Silty,Cloudy,8.36,2383.3,41.4,88.0,496.2,1.12,2883.66,24100.11
Groundnut,AP,Zaid,Loamy,Cloudy,29.66,2358.9,25.5,38.3,345.2,1.07,3156.12,93599.45
Barley,AP,Zaid,Loamy,Rainy,39.12,1497.0,22.8,72.1,305.3,4.0,3896.49,152432.56
Bajra,AP,Winter,Chalky,Sunny,16.21,2297.5,16.8,72.1,132.2,1.66,2298.29,37247.45
Soybean,Haryana,Winter,Peaty,Cloudy,47.1,601.1,29.1,26.9,331.6,2.8,2091.16,98499.87
Barley,MP,Zaid,Chalky,Sunny,14.14,1337.4,18.7,64.1,192.2,3.17,3496.18,49432.64
Soybean,Bihar,Kharif,Loamy,Sunny,9.45,818.2,21.0,38.5,187.9,2.82,2250.73,21266.84
Soybean,AP,Rabi,Chalky,Sunny,36.29,1977.1,36.4,63.4,56.6,1.87,1685.73,61178.72
Barley,Bihar,Winter,Clay,Sunny,46.67,246.3,19.6,86.5,256.3,2.87,3408.22,159066.16
Wheat,MP,Winter,Sandy,Dry,49.85,1856.4,23.6,86.0,72.1,1.23,3900.38,194429.86
Maize,MP,Winter,Chalky,Rainy,25.25,1752.3,22.2,76.9,392.0,1.63,4791.45,120997.99
Barley,Bihar,Winter,Silty,Dry,39.2,1961.5,35.7,92.4,227.1,0.74,3879.06,152073.05
Groundnut,Bihar,Rabi,Silty,Cloudy,7.79,675.1,24.4,67.7,229.2,0.13,2613.02,20349.49
Barley,AP,Summer,Clay,Sunny,38.38,529.3,34.7,68.1,61.5,3.96,2444.94,93829.86
Maize,UP,Summer,Sandy,Humid,43.84,895.7,40.8,84.3,394.1,0.82,3480.59,152577.39
Barley,AP,Winter,Sandy,Sunny,25.28,1685.2,30.3,29.0,190.4,4.03,3425.54,86593.14
Barley,MP,Zaid,Peaty,Cloudy,14.83,2001.4,39.1,94.0,319.0,0.5,3734.68,55375.31
Soybean,UP,Zaid,Silty,Cloudy,8.86,323.4,36.5,55.7,432.1,1.98,2122.48,18801.97
Sugarcane,Maharashtra,Rabi,Clay,Humid,25.8,1589.9,28.8,82.2,423.3,3.58,120374.18,3105668.97
Maize,Punjab,Winter,Silty,Dry,15.56,520.3,33.4,43.0,196.7,0.45,2788.39,43387.25
Groundnut,Haryana,Winter,Loamy,Sunny,38.89,1104.2,19.2,20.8,294.9,4.88,2836.74,110313.86
Jowar,Karnataka,Rabi,Chalky,Rainy,23.4,276.5,18.7,51.2,78.4,2.04,888.73,20794.91
Jowar,Maharashtra,Winter,Peaty,Humid,20.83,2080.5,41.9,84.0,353.1,0.77,1678.77,34968.95
Bajra,AP,Summer,Sandy,Dry,16.38,1570.9,44.9,52.6,464.3,1.79,1829.98,29979.2
Jowar,AP,Summer,Loamy,Rainy,37.77,1885.6,41.3,74.2,154.3,3.56,1696.85,64083.37
Cotton,Punjab,Winter,Silty,Rainy,36.08,454.4,16.1,94.6,154.7,0.36,1594.32,57517.44
Rice,Bihar,Zaid,Chalky,Dry,43.93,1978.3,35.1,22.4,290.7,0.28,4057.2,178248.67
Groundnut,Punjab,Rabi,Sandy,Rainy,44.38,1116.9,40.9,40.0,290.6,4.31,2756.72,122348.29
Barley,Karnataka,Summer,Loamy,Cloudy,49.6,2388.2,19.1,60.3,133.2,2.2,3548.09,175979.81
Jowar,Karnataka,Zaid,Silty,Dry,48.89,2058.1,37.1,60.3,428.0,1.76,2431.39,118861.33
Barley,Rajasthan,Zaid,Peaty,Cloudy,3.99,2291.7,20.7,81.6,295.1,0.48,3544.82,14149.21
Maize,Maharashtra,Zaid,Clay,Dry,7.38,1212.2,29.5,35.9,102.0,4.2,3129.86,23100.29
Groundnut,Haryana,Winter,Silty,Humid,19.16,1104.6,31.3,32.0,361.1,0.92,2670.19,51171.99
Rice,MP,Summer,Chalky,Sunny,33.34,471.9,27.0,79.5,149.2,1.01,3882.2,129418.58
Groundnut,Haryana,Kharif,Loamy,Dry,38.29,450.0,44.4,48.6,398.9,1.78,2472.35,94676.33
Maize,Rajasthan,Rabi,Chalky,Sunny,26.79,1915.2,39.8,72.2,465.8,4.12,5751.35,154078.25
Soybean,MP,Rabi,Sandy,Rainy,27.82,756.2,27.8,92.6,346.0,2.87,2749.43,76491.49
Barley,Punjab,Zaid,Clay,Humid,10.06,1284.0,29.2,48.4,282.8,2.12,3282.39,33025.47
Bajra,Rajasthan,Zaid,Clay,Rainy,30.69,753.8,26.6,26.0,116.2,1.56,1343.68,41231.73
Rice,Rajasthan,Kharif,Chalky,Rainy,12.65,2068.4,25.3,28.4,306.7,2.95,5017.99,63501.4
Wheat,Punjab,Rabi,Chalky,Dry,10.18,582.3,42.5,44.6,217.4,3.82,3430.19,34902.81
Cotton,Gujarat,Zaid,Sandy,Humid,30.07,2226.1,16.5,39.3,259.3,1.21,2091.79,62905.93
Jowar,Punjab,Rabi,Sandy,Humid,22.52,1324.8,25.5,88.2,306.0,3.83,2321.53,52281.33
Rice,AP,Zaid,Loamy,Sunny,41.73,2467.3,38.7,65.1,202.6,2.77,4786.56,199744.99
Soybean,Karnataka,Winter,Sandy,Humid,31.92,628.8,37.5,60.9,141.8,1.53,1653.02,52763.99
Bajra,UP,Winter,Clay,Humid,48.38,1844.8,43.7,52.0,263.8,4.5,2553.7,123547.78
Barley,Bihar,Rabi,Peaty,Humid,25.79,1186.2,16.6,21.7,211.1,1.73,2853.68,73605.22
Rice,MP,Summer,Peaty,Rainy,42.92,2359.0,29.8,72.6,435.0,2.15,6764.6,290335.04
Soybean,MP,Summer,Chalky,Rainy,40.88,1573.8,26.8,55.5,434.5,1.77,2834.02,115853.13
Sugarcane,Maharashtra,Winter,Loamy,Cloudy,9.5,1189.8,20.0,73.0,290.9,3.21,93490.12,888153.65
Sugarcane,Karnataka,Kharif,Chalky,Cloudy,42.97,1733.9,28.1,91.5,373.7,4.66,123528.67,5307752.49
Groundnut,Bihar,Rabi,Peaty,Sunny,36.44,479.0,24.1,59.9,304.0,3.04,2656.17,96794.12
Soybean,Maharashtra,Summer,Clay,Rainy,6.64,479.3,36.6,33.8,197.8,2.49,1509.73,10029.64
Jowar,Gujarat,Kharif,Silty,Rainy,14.34,513.7,36.8,81.0,165.9,3.89,1520.93,21813.2
Soybean,Haryana,Winter,Sandy,Dry,3.95,2254.8,26.6,41.6,376.1,4.2,2526.06,9980.76
Soybean,Karnataka,Rabi,Silty,Rainy,27.86,1903.5,29.6,26.4,487.6,2.64,2612.0,72781.75
Barley,Gujarat,Zaid,Clay,Rainy,37.63,1250.7,40.4,28.6,164.9,4.16,2981.22,112191.18
Bajra,AP,Rabi,Sandy,Sunny,2.3,321.3,40.0,28.8,70.3,2.25,1147.33,2644.38
Rice,UP,Rabi,Chalky,Humid,43.11,996.3,34.6,46.3,327.7,4.44,5022.36,216511.81
Sugarcane,Haryana,Summer,Sandy,Sunny,48.52,2189.7,33.0,72.6,178.3,3.19,90732.25,4402209.29
Groundnut,Gujarat,Kharif,Loamy,Humid,21.25,460.6,20.2,61.0,124.1,0.41,1419.92,30169.45
Maize,Gujarat,Zaid,Chalky,Rainy,28.18,1383.9,18.0,21.2,483.7,1.95,3714.36,104675.47
Sugarcane,AP,Rabi,Sandy,Humid,29.3,1962.6,27.2,86.0,341.9,4.51,134505.72,3940374.1
Jowar,Gujarat,Rabi,Chalky,Rainy,45.49,1948.9,35.3,42.6,132.8,3.81,1506.34,68518.97
Bajra,Maharashtra,Winter,Chalky,Dry,23.69,540.3,44.5,35.7,108.7,1.1,1181.52,27994.53
Cotton,Bihar,Rabi,Chalky,Sunny,40.92,2236.0,17.6,60.4,461.0,2.0,2584.63,105774.69
Wheat,Bihar,Rabi,Chalky,Dry,18.49,2357.8,23.3,44.9,365.4,3.85,6012.31,111158.52
Maize,Karnataka,Zaid,Sandy,Sunny,15.86,1118.0,22.3,35.3,479.5,4.6,4536.67,71952.52
Groundnut,Maharashtra,Rabi,Silty,Humid,22.01,2199.9,20.4,91.1,148.4,1.7,3032.42,66741.4
Jowar,Rajasthan,Summer,Peaty,Dry,7.1,757.9,23.8,89.3,153.7,1.52,1829.52,12990.63
Rice,Bihar,Zaid,Loamy,Cloudy,33.86,238.3,25.2,79.7,84.9,1.48,2915.6,98736.4
Cotton,Haryana,Kharif,Sandy,Cloudy,42.91,1273.8,25.8,60.2,372.8,2.27,2229.8,95688.29
Cotton,Rajasthan,Kharif,Loamy,Rainy,49.84,1181.8,18.3,22.3,377.1,4.38,2198.01,109553.5
Bajra,AP,Winter,Peaty,Humid,48.61,1379.0,23.7,55.2,436.0,1.59,2399.3,116621.16
Cotton,AP,Summer,Silty,Cloudy,0.97,373.2,26.3,81.5,53.2,2.34,1416.78,1377.67
